date,time,District_ID
2016-03-30,2021-09-25 19:06:52,402263
2016-03-30,2021-09-25 19:06:52,402264
2016-03-30,2021-09-25 19:06:52,402265
2016-03-30,2021-09-25 19:06:52,402266
2016-03-30,2021-09-25 19:06:52,402267
2016-03-30,2021-09-25 19:06:52,402268
2016-03-30,2021-09-25 19:06:52,402269
2016-03-30,2021-09-25 19:06:52,402270
2016-03-30,2021-09-25 19:06:52,402271
2016-03-30,2021-09-25 19:06:52,402272
2016-03-30,2021-09-25 19:07:22,402260
2016-03-30,2021-09-25 19:07:22,402261
2016-03-30,2021-09-25 19:07:22,402262
2016-03-30,2021-09-25 19:07:22,402263
2016-03-30,2021-09-25 19:07:22,402264
2016-03-30,2021-09-25 19:07:22,402265
2016-03-30,2021-09-25 19:07:22,402266
2016-03-30,2021-09-25 19:07:22,402267
2016-03-30,2021-09-25 19:07:22,402268
2016-03-30,2021-09-25 19:07:22,402269
2016-03-30,2021-09-25 19:07:22,402270
2016-03-30,2021-09-25 19:07:22,402271
2016-03-30,2021-09-25 19:07:22,402272
2016-03-30,2021-09-25 19:07:52,402260
2016-03-30,2021-09-25 19:07:52,402261
2016-03-30,2021-09-25 19:07:52,402262
2016-03-30,2021-09-25 19:07:52,402263
2016-03-30,2021-09-25 19:07:52,402264
2016-03-30,2021-09-25 19:07:52,402265
2016-03-30,2021-09-25 19:07:52,402266
2016-03-30,2021-09-25 19:07:52,402267
2016-03-30,2021-09-25 19:07:52,402268
2016-03-30,2021-09-25 19:07:52,402269
2016-03-30,2021-09-25 19:07:52,402270
2016-03-30,2021-09-25 19:07:52,402271
2016-03-30,2021-09-25 19:07:52,402272
2016-03-30,2021-09-25 19:08:22,402260
2016-03-30,2021-09-25 19:08:22,402261
2016-03-30,2021-09-25 19:08:22,402262
2016-03-30,2021-09-25 19:08:22,402263
2016-03-30,2021-09-25 19:08:22,402264
2016-03-30,2021-09-25 19:08:22,402265
2016-03-30,2021-09-25 19:08:22,402266
2016-03-30,2021-09-25 19:08:22,402267
2016-03-30,2021-09-25 19:08:22,402268
2016-03-30,2021-09-25 19:08:22,402269
2016-03-30,2021-09-25 19:08:22,402270
2016-03-30,2021-09-25 19:08:22,402271
2016-03-30,2021-09-25 19:08:22,402272
2016-03-30,2021-09-25 19:08:52,402260
2016-03-30,2021-09-25 19:08:52,402261
2016-03-30,2021-09-25 19:08:52,402262
2016-03-30,2021-09-25 19:08:52,402263
2016-03-30,2021-09-25 19:08:52,402264
2016-03-30,2021-09-25 19:08:52,402265
2016-03-30,2021-09-25 19:08:52,402266
2016-03-30,2021-09-25 19:08:52,402267
2016-03-30,2021-09-25 19:08:52,402268
2016-03-30,2021-09-25 19:08:52,402269
2016-03-30,2021-09-25 19:08:52,402270
2016-03-30,2021-09-25 19:08:52,402271
2016-03-30,2021-09-25 19:08:52,402272
2016-03-30,2021-09-25 19:09:22,402260
2016-03-30,2021-09-25 19:09:22,402261
2016-03-30,2021-09-25 19:09:22,402262
2016-03-30,2021-09-25 19:09:22,402263
2016-03-30,2021-09-25 19:09:22,402264
2016-03-30,2021-09-25 19:09:22,402265
2016-03-30,2021-09-25 19:09:22,402266
2016-03-30,2021-09-25 19:09:22,402267
2016-03-30,2021-09-25 19:09:22,402268
2016-03-30,2021-09-25 19:09:22,402269
2016-03-30,2021-09-25 19:09:22,402270
2016-03-30,2021-09-25 19:09:22,402271
2016-03-30,2021-09-25 19:09:22,402272
2016-03-30,2021-09-25 19:09:52,402260
2016-03-30,2021-09-25 19:09:52,402261
2016-03-30,2021-09-25 19:09:52,402262
2016-03-30,2021-09-25 19:09:52,402263
2016-03-30,2021-09-25 19:09:52,402264
2016-03-30,2021-09-25 19:09:52,402265
2016-03-30,2021-09-25 19:09:52,402266
2016-03-30,2021-09-25 19:09:52,402267
2016-03-30,2021-09-25 19:09:52,402268
2016-03-30,2021-09-25 19:09:52,402269
2016-03-30,2021-09-25 19:09:52,402270
2016-03-30,2021-09-25 19:09:52,402271
2016-03-30,2021-09-25 19:09:52,402272
2016-03-30,2021-09-25 19:10:22,402260
2016-03-30,2021-09-25 19:10:22,402261
2016-03-30,2021-09-25 19:10:22,402262
2016-03-30,2021-09-25 19:10:22,402263
2016-03-30,2021-09-25 19:10:22,402264
