0,1,2,3,4,5,6,7,8,9,10,11,12
402270,5,.03,71,6,.03,71,3,.05,65,2,.03,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,8,.05,71,4,.06,71,2,.01,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,11,.06,71,8,.05,65,7,.04,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.09,71,9,.05,71,8,.05,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,10,.0694,65,7,.0694,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,78,8,.04,71,4,.04,65,6,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,9,.05,71,4,.02,71,2,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.08,71,7,.05,71,7,.0694,65,4,.04,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,9,.06,65,7,.05,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,8,.05,71,6,.05,60,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,13,.08,71,3,.04,60,2,.01,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.1,71,10,.06,71,6,.09,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,5,.03,65,6,.03,71,2,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,5,.03,71,2,.03,71,1,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,71,8,.04,71,8,.09,65,8,.06,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,5,.03,71,4,.03,60,6,.0694,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,8,.05,65,6,.04,60,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,78,9,.05,65,3,.03,71,5,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,6,.04,71,6,.09,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,7,.04,65,4,.02,71,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,71,8,.05,65,4,.04,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,8,.05,71,6,.04,65,2,.02,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,7,.04,78,5,.05,65,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,9,.05,65,8,.0694,56,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,71,7,.05,71,5,.03,71,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,8,.05,71,7,.05,71,1,0,86
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.06,71,5,.03,71,4,.02,71,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,10,.06,65,6,.06,60,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,78,6,.03,65,4,.03,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,10,.06,71,5,.06,60,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,78,7,.04,65,3,.03,56,4,.03,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,14,.08,78,12,.0694,71,8,.06,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,7,.04,65,5,.03,60,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,8,.05,71,4,.03,65,2,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,9,.06,65,4,.04,60,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,3,.02,78,0,0,0,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,8,.06,65,6,.06,65,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,71,8,.05,71,4,.02,71,4,.02,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,78,4,.03,71,4,.04,65,3,.02,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,10,.06,65,9,.1,60,5,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,78,8,.05,65,5,.03,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,7,.04,71,8,.04,71,2,.04,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,78,8,.04,71,4,.02,78,5,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,78,7,.04,71,3,.02,65,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,11,.06,65,5,.0694,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,12,.0694,71,5,.04,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,7,.04,71,5,.05,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,10,.06,71,7,.0694,60,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,78,8,.04,71,2,.01,71,0,0,0
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,15,.09,71,11,.0694,71,11,.09,71,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,4,.02,71,5,.03,65,4,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,4,.02,71,3,.02,78,5,.03,65,4,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,7,.04,60,1,.02,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,3,.02,71,8,.05,71,4,.0694,60,1,.01,86
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.04,71,4,.02,65,4,.03,65,1,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,8,.05,65,5,.02,71,3,.03,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.09,71,9,.05,71,3,.03,65,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,15,.08,78,7,.05,65,5,.04,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.04,78,11,.06,71,6,.1,60,4,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,71,7,.05,65,7,.1,60,3,.05,56
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,71,11,.05,71,11,.0694,65,2,.01,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,78,11,.06,71,4,.02,71,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,12,.08,65,7,.04,71,4,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,13,.0694,71,6,.05,65,7,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,7,.04,71,4,.05,56,6,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,8,.05,71,1,0,52,1,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,78,10,.05,71,1,.03,96,2,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,71,6,.04,65,3,.02,56,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,12,.0694,71,9,.08,65,5,.05,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,9,.05,65,4,.05,56,3,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,10,.06,65,1,.03,18,4,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,2,.01,78,3,.02,71,4,.03,71,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,8,.05,65,4,.02,65,1,.01,54
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,15,.08,71,10,.06,65,4,.08,60,4,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,78,9,.05,71,3,.02,60,4,.05,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,12,.0694,71,5,.04,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,8,.05,71,4,.02,78,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,8,.05,71,2,.01,65,3,.03,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,17,.09,78,5,.03,71,5,.03,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.04,78,7,.04,71,3,.02,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,7,.05,71,3,.03,60,1,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,71,9,.06,71,2,.01,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,14,.08,71,11,.06,65,6,.05,60,5,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.03,71,7,.04,71,2,.02,65,2,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,9,.05,71,5,.03,71,2,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,78,8,.06,71,6,.06,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,8,.05,71,5,.03,71,1,0,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,7,.05,65,3,.02,71,1,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.0694,71,12,.0694,71,4,.03,65,3,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,71,9,.06,71,3,.08,60,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,9,.06,71,4,.03,60,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,78,12,.08,65,5,.03,71,4,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,6,.04,78,8,.05,71,2,.02,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,16,.08,78,9,.06,71,6,.06,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.04,71,9,.05,71,3,.02,60,2,.03,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.06,78,10,.06,71,8,.04,71,2,.01,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,1,.01,78,3,.02,71,2,.01,71,1,.01,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,8,.05,71,6,.03,65,1,.01,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,71,10,.0694,65,5,.05,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.0694,71,8,.05,65,2,.01,56,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,10,.0694,65,5,.06,65,2,.02,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,8,.05,71,7,.05,71,4,.03,65,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,17,.1,71,10,.06,71,9,.06,65,2,.01,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,11,.06,78,10,.06,71,4,.02,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,13,.0694,71,11,.0694,71,5,.03,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,9,.05,71,7,.04,71,4,.02,78,3,.04,65
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,7,.04,78,6,.04,71,5,.03,71,1,0,78
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,10,.05,71,8,.05,71,6,.06,71,3,.02,71
402269,0,0,0,0,0,0,0,0,0,0,0,0
402270,5,.03,78,8,.05,65,7,.06,60,1,0,60
402269,0,0,0,0,0,0,0,0,0,0,0,0
