0,1,2,3,4,5,6,7,8,9
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,11,.0694,71,5,.05,71
402265,17,.12,65,14,.11,65,7,.05,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0428,71,4,.0356,52
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.04,71,4,.04,78
402265,6,.04,71,7,.04,71,4,.03,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0428,71,4,.0356,52
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,12,.08,65,9,.1,65
402265,12,.08,71,13,.08,65,3,.05,71
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0467,71,8,.0517,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.05,65,5,.06,65
402265,8,.05,71,9,.06,71,3,.04,65
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,7,.0467,71,8,.0517,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,15,.09,71,9,.05,71
402265,11,.0694,71,10,.0694,71,7,.06,60
402266,0,0,0,0,0,0,0,0,0
402267,1,.9744,0,15,.0939,71,7,.05,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.06,71,3,.03,78
402265,6,.03,78,5,.03,71,5,.03,60
402266,0,0,0,0,0,0,0,0,0
402267,0,1,0,10,.0606,71,5,.0328,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,11,.06,71,5,.05,65
402265,16,.09,71,11,.0694,71,4,.02,78
402266,0,0,0,0,0,0,0,0,0
402267,1,.7972,0,15,.0978,65,8,.0583,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,13,.08,71,4,.08,56
402265,6,.04,78,11,.0694,65,5,.04,71
402266,0,0,0,0,0,0,0,0,0
